Description,Ticker,Ticker2
TEMCO,TEMCOUSD,TEMCO
GrEarn,GSTUSD,GST
ABBC,ABBCUSD,ABBC
Augur,REPV2USD,REPV2
Red,PHXUSD,PHX
CVC,CVCUSD,CVC
Bread,BRDUSD,BRD
TRUE,TRUEUSD,TRUE
REEF,REEFUSD,REEF
CoinLoan,CLTUSD,CLT
Chainlink,LINKUSD,LINK
Golden,GOLDRUSD,GOLDR
NEM,XEMUSD,XEM
Akash,AKTUSD,AKT
Polkastarter,POLSUSD,POLS
HedgeTrade,HEDGUSD,HEDG
Standard,STPTUSD,STPT
LAZIO,LAZIOUSD,LAZIO
DigiDinar,DDRTUSD,DDRT
BitTorrent,BTTUSD,BTT
DOVU,DOVUSD,DOV
Beam,BEAMUSD,BEAM
Atari,ATRIUSD,ATRI
PinkCoin,PINKUSD,PINK
TrueFi,TRUUSD,TRU
KOK,KOKUSD,KOK
ALPACA,ALPACAUSD,ALPACA
BlitzPredict,XBPUSD,XBP
JulSwap,JULDUSD,JULD
STMX,STMXUSD,STMX
YFI,YFIUSD,YFI
Golff,GOFUSD,GOF
Manchester,CITYUSD,CITY
Groestlcoin,GRSUSD,GRS
AdEx,ADXUSD,ADX
Loopring,LRCUSD,LRC
CBC.Network,CBCUSD,CBC
My,MYCEUSD,MYCE
Automata,ATAUSD,ATA
XVS,XVSUSD,XVS
Matrix,MANUSD,MAN
Occam.Fi,OCCUSD,OCC
Tranche,SLICEUSD,SLICE
Streamr,DATAUSD,DATA
IRISnet,IRISUSD,IRIS
Substratum,SUBUSD,SUB
Alphacat,ACATUSD,ACAT
XAUR,XAURUSD,XAUR
Native,NUTUSD,NUT
MonaCoin,MONAUSD,MONA
Dawn,DAWNUSD,DAWN
Po.et,POEUSD,POE
Redd,RDDUSD,RDD
MobileCoin,MOBUSD,MOB
Primalbase,PBTUSD,PBT
BAR,BARUSD,BAR
Bitcoin,BTGUSD,BTG
Stratis,STRAXUSD,STRAX
Komodo,KMDUSD,KMD
FIRO,FIROUSD,FIRO
Enigma,ENGUSD,ENG
Cortex,CTXCUSD,CTXC
FIO,FIOUSD,FIO
Humaniq,HMQUSD,HMQ
Polymath,POLYUSD,POLY
YGG,YGGUSD,YGG
Bread,BRDUSD,BRD
