datetime,open,high,low,close,volume,candle,bb_upper,bb_middle,bb_lower,returns,stoch_k,stoch_d,short_ema,long_ema,short_vama,long_vama,ticker,trading,trend_cnt,dtrend_cnt,profit
2021-11-10 04:00:00,35.982,36.4,35.924,35.927,50967.0012,-0.054999999999999716,37.45893305135852,36.3047,35.15046694864147,-0.0016117826872308338,26.273360205203332,24.465616220837834,35.94400508682735,36.09792545406458,35.868919555717895,36.45999934625019,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-10 06:00:00,35.927,36.175,35.437,36.061,105698.1012,0.13400000000000034,37.45838368400711,36.3021,35.145816315992896,0.0037297853981685947,35.12174989682206,29.931263645832075,35.96527688922238,36.09440874415366,35.86759882098267,36.45170909450813,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-10 08:00:00,36.061,36.685,35.983,36.683,149320.5012,0.6219999999999999,37.4651943518824,36.305099999999996,35.14500564811759,0.017248551066248785,85.58977338756549,48.99496116319696,36.09577200027286,36.15046505423427,36.05870625762859,36.4577527425859,ATOMUSD,HOLD,1.0,0.0,31.73544
2021-11-10 10:00:00,36.683,37.278,36.57,36.698,284402.9012,0.015000000000000568,37.406773165223115,36.286649999999995,35.166526834776874,0.0004089087588257101,71.95357833655711,64.22170054031488,36.20526800022325,36.202611239545284,36.238400808917454,36.42834424565377,ATOMUSD,HOLD,2.0,0.0,31.73544
2021-11-10 12:00:00,36.698,36.727,34.5,34.6,527196.5012,-2.097999999999999,37.50052151293319,36.177350000000004,34.85417848706682,-0.05716932802877539,3.59971202303821,53.71435458238694,35.91340109109175,36.04998159768383,35.82374212473048,36.094990678619304,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-10 14:00:00,34.617,34.679,28.403,31.014,1105632.1012,-3.602999999999998,38.495792457359094,35.87865,33.261507542640906,-0.10364161849710984,29.41971830985916,34.99100288981817,35.02260089271143,35.57036430266633,34.688282462305736,34.908006883605424,ATOMUSD,HOLD,0.0,1.0,31.73544
2021-11-10 16:00:00,31.012,32.443,30.472,32.177,416135.5012,1.1649999999999991,38.67017758574758,35.63595,32.60172241425242,0.03749919391242673,42.52394366197184,25.18112466495641,34.50521891221844,35.24718675003144,34.4596283857719,34.66751335785378,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-10 18:00:00,32.168,32.586,31.754,32.485,227827.9012,0.31700000000000017,38.58530068574148,35.38275,32.18019931425852,0.009572054573142363,45.994366197183105,39.31267605633804,34.13790638272418,34.984121345266544,34.33517015885215,34.4788735715459,ATOMUSD,HOLD,1.0,0.0,31.73544
2021-11-10 20:00:00,32.481,32.775,31.785,32.735,156112.4012,0.2539999999999978,38.53367494599301,35.1853,31.83692505400698,0.007695859627520285,48.811267605633816,45.77652582159626,33.882832494956155,34.76991931238402,34.26699291358891,34.36695586717194,ATOMUSD,HOLD,2.0,0.0,31.73544
2021-11-10 22:00:00,32.734,33.26,32.606,33.218,98048.6012,0.48400000000000176,38.375512077132754,35.00665,31.637787922867243,0.014754849549412086,54.25352112676062,49.68638497652585,33.761953859509575,34.62211747310935,34.189597844523355,34.28728108735474,ATOMUSD,HOLD,3.0,0.0,31.73544
2021-11-11 00:00:00,33.219,34.008,33.185,33.605,153416.2012,0.3859999999999957,38.27776259011516,34.887100000000004,31.49643740988485,0.011650310072851777,58.61408450704223,53.89295774647889,33.7334167941442,34.52524914233703,34.11232304427022,34.189284401608816,ATOMUSD,HOLD,4.0,0.0,31.73544
2021-11-11 02:00:00,33.605,33.853,33.035,33.668,167657.1012,0.06300000000000239,38.148765856826586,34.766000000000005,31.383234143173425,0.0018747210236571554,59.32394366197183,57.39718309859157,33.72152283157253,34.44360636687636,33.93527981725216,34.07470469880394,ATOMUSD,HOLD,5.0,0.0,31.73544
