datetime,open,high,low,close,volume,candle,bb_upper,bb_middle,bb_lower,returns,stoch_k,stoch_d,short_ema,long_ema,short_vama,long_vama,ticker,anomoly,trading,trend_cnt,dtrend_cnt,profit
2021-05-10 17:00:00,1.0014,1.0018,0.9999,1.001,22184160.3012,-0.000400000000000178,1.0018973640785003,1.0010999999999999,1.0003026359214995,-0.00029961050634197406,49.999999999994955,45.634920634919375,1.0011955516580466,1.0011966892435809,1.0012275801856405,1.0011439417916144,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-10 19:00:00,1.001,1.0012,1.0,1.0003,16396984.541199997,-0.0006999999999999229,1.0019404174532673,1.0010750000000002,1.000209582546733,-0.0006993006993005757,18.181818181816347,43.362193362192414,1.001032724077489,1.0011112730113538,1.0011455468102042,1.0010875058589679,USDTUSD,1,HOLD,0.0,1.0,0.0007919999999999128
2021-05-10 21:00:00,1.0003,1.001,0.9995,1.0007,9703606.8312,0.00039999999999995595,1.0018380832803717,1.0011100000000002,1.0003819167196286,0.0003998800359892307,46.15384615384221,38.111888111884504,1.0009722287887373,1.0010720969921796,1.0011240490491031,1.0010904057431231,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-10 23:00:00,1.0007,1.001,1.0003,1.0009,5837779.8312,0.00019999999999997797,1.0018296329666572,1.0011199999999998,1.0004103670333424,0.00019986009793138138,53.84615384614925,39.39393939393594,1.0009590962813504,1.00105570409138,1.0011109858837817,1.0011034213442314,USDTUSD,1,HOLD,1.0,0.0,0.0007919999999999128
2021-05-11 01:00:00,1.0008,1.0012,1.0006,1.0011,3100701.3912,0.000300000000000189,1.0018286554582323,1.001135,1.000441344541768,0.00019982016185449147,61.53846153846483,53.8461538461521,1.0009847151398354,1.0010599233806763,1.0010968834683258,1.001113091373922,USDTUSD,1,HOLD,2.0,0.0,0.0007919999999999128
2021-05-11 03:00:00,1.0012,1.0012,1.0001,1.0007,2016453.7111999998,-0.000500000000000167,1.0018354530738205,1.001115,1.0003945469261795,-0.00039956048346834194,46.15384615384221,53.8461538461521,1.0009329487498675,1.001025640322242,1.0010437602706606,1.0011098929915478,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-11 05:00:00,1.0008,1.0013,1.0006,1.0012,2820390.2012,0.000400000000000178,1.0018264238674788,1.00111,1.0003935761325211,0.0004996502448288975,65.38461538461834,57.692307692308454,1.000981503523315,1.0010422480400563,1.0009725556591633,1.0010982706160187,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-11 07:00:00,1.0011,1.0017,1.0005,1.001,3078014.7712000003,-0.00010000000000021103,1.0017945715383338,1.00109,1.0003854284616662,-0.0001997602876550042,57.69230769230277,56.41025641025444,1.0009848665191152,1.0010382239712425,1.0008970050105939,1.0010815966571622,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-11 09:00:00,1.001,1.0011,1.0008,1.0011,3531627.0912,0.00010000000000021103,1.001798300489795,1.001095,1.0003916995102051,9.990009990024085e-05,61.53846153846483,61.53846153846198,1.001005799879477,1.0010441079925234,1.0009658406934516,1.0010855885175023,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-11 11:00:00,1.001,1.0011,1.001,1.0011,3366281.2112,0.00010000000000021103,1.0017915771706052,1.00109,1.0003884228293949,0.0,61.53846153846483,60.25641025641081,1.0010229271742521,1.0010494315237912,1.0008183335103138,1.0010820512470577,USDTUSD,1,HOLD,1.0,0.0,0.0007919999999999128
